DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ETABLISSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION;NOMBRE DE LOGEMENTS
05/12/2012;05/12/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING MUNICIPAL DE VAUCHEVRIER;RUE DE VAUCHEVRIER;37110;CHÂTEAU-RENAULT;247295443;camping.vauchevrier@orange.fr;http://www.ville-chateau-renault.fr/;0;0;0;80;0;0
20/07/2012;20/07/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING MUNICIPAL;31 avenue du Général De Gaulle;37140;BOURGUEIL;247978562;camping@bourgueil.fr;http://www.bourgueil.fr/camping;0;0;0;87;0;0
05/11/2012;05/11/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING DE BLÉRÉ PLAGE LA GÂTINE;Rue du Commandant Le Maître;37150;BLÉRÉ;954236020;info@campingblereplage.com;http://campingblereplage.com;0;0;0;155;0;0
16/05/2011;17/05/2011;CAMPING;3 étoiles;Tourisme;0;CAMPING LE MOULIN FORT;Camping Le Moulin Fort;37150;FRANCUEIL;247238622;lemoulinfort@wanadoo.fr;http://www.lemoulinfort.com;0;0;0;137;0;0
19/03/2013;19/03/2013;CAMPING;2 étoiles;Tourisme;0;CAMPING MUNICIPAL LA GROSSE MOTTE;9 allée Léo Lagrange;37160;DESCARTES;672001043;camping.descartes@orange.fr;http://www.ville-descartes.fr/index.php?page=article&id_categorieA=20&id_article=39;0;0;0;54;0;0
21/05/2013;21/05/2013;CAMPING;3 étoiles;Tourisme;0;CAMPING MUNICIPAL DU SABOT;rue du stade;37190;AZAY-LE-RIDEAU;247454272;camping.lesabot@wanadoo.fr;http://www.azaylerideau.fr;0;0;0;196;0;0
13/01/2012;13/01/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING LES TERRASSES DE RIVARENNES;Allée des Prés Sillaults , lieu-dit Les Moriers;37190;RIVARENNES;247957012;contact@camping-les-terrasses-de-rivarennes.com;http://www.camping-les-terrasses-de-rivarennes.com;0;0;0;24;0;0
27/09/2011;27/09/2011;CAMPING;2 étoiles;Tourisme;0;MAIRIE DE VOUVRAY;Le Bec de Cisse;37210;VOUVRAY;247527048;commune.vouvray@wanadoo.fr;http://vouvray37.fr;0;0;0;36;0;0
07/06/2013;07/06/2013;CAMPING;4 étoiles;Tourisme;0;CAMPING DU CHÂTEAU DE LA ROLANDIÈRE;Château de La Rolandière;37220;TROGUES;247585371;contact@larolandiere.com;http://www.larolandiere.com;0;0;0;30;0;0
19/12/2011;23/03/2012;CAMPING;4 étoiles;0;0;CAMPING VILLAGE CENTER - LE PARC DES ALLAIS;LES ALLAIS;37220;TROGUES;247586060;dirparcdesallais@village-center.fr;http://www.village-center.fr;0;0;0;237;0;0
