DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ETABLISSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION;NOMBRE DE LOGEMENTS
19/12/2012;19/12/2012;HÔTEL;2 étoiles;0;0;HÔTEL DU THÉÂTRE;57 rue de la scellerie;37000;TOURS;247053129;hoteldutheatre.tours@wanadoo.fr;www.hotel-du-theatre37.com;0;31;14;0;0;0
28/11/2012;28/11/2012;HÔTEL;3 étoiles;0;0;HÔTEL KYRIAD TOURS CENTRE;65 avenue de Grammont;37000;TOURS;247647178;ambarat@orange.fr;http://www.kyriad-tours-centre.fr;0;100;50;0;0;0
26/11/2012;26/11/2012;HÔTEL;1 étoile;0;0;HÔTEL SAINT ELOI ;79 boulevard Béranger;37000;TOURS;247376737;hotelsteloi37@orange.fr;0;0;23;10;0;0;0
14/11/2012;14/11/2012;HÔTEL;3 étoiles;0;0;QUALITY HOTEL HARMONIE TOURS CENTRE;15 rue Joliot Curie;37000;TOURS;247660148;harmonie.hotel@wanadoo.fr;0;0;110;53;0;0;0
14/11/2012;14/11/2012;HÔTEL;3 étoiles;0;0;BEST WESTERN CENTRAL HÔTEL;21 RUE BERTHELOT;37000;TOURS;247054644;sacha.malandit@gmail.com;http://www.bestwesterncentralhoteltours.com/;0;80;37;0;0;0
01/10/2012;01/10/2012;HÔTEL;2 étoiles;0;0;HÔTEL TRIANON;57 avenue de Grammont;37000;TOURS;247053527;contact@hoteltrianontours.com;http://www.hoteltrianontours.com;0;19;10;0;0;0
10/09/2012;10/09/2012;HÔTEL;2 étoiles;0;0;HÔTEL RABELAIS;24 Place Rabelais;37000;TOURS;247370464;hotelrabelais@wanadoo.fr;hotel-rabelais-tours.fr;0;46;19;0;0;0
13/08/2012;13/08/2012;HÔTEL;2 étoiles;0;0;HÔTEL SAINT-JEAN;13 place des Halles;37000;TOURS;247385877;hotel-stjean@orange.fr;0;0;34;18;0;0;0
06/08/2012;06/08/2012;HÔTEL;2 étoiles;0;0;HÔTEL MIRABEAU;89 bis boulevard Heurteloup;37000;TOURS;247052460;hotelmirabeau@wanadoo.fr;http://www.hotel-mirabeau.fr;0;65;23;0;0;0
06/07/2012;06/07/2012;HÔTEL;3 étoiles;0;0;AU RELAIS SAINT ÉLOI;8/20 RUE GIRAUDEAU;37000;TOURS;247381819;relais-st-eloi2@wanadoo.fr;http://au-relais-st-eloi.com;0;248;56;0;0;0
06/07/2012;06/07/2012;HÔTEL;3 étoiles;0;0;IBIS STYLES TOURS CENTRE;4 place de la Liberté;37000;TOURS;247055005;H8011@ACCOR.COM;http://www.accorhotels.com/8011;0;490;119;0;0;0
