CATEGORIE;ETABLISSEMENT;EMAILCONTACT;SITEWEB;T‚l‚phone;Fax;CONTACT;HANDICAPS;ADRESSE;REGION;DEPARTEMENT
Office de tourisme;Office de tourisme de Chenonceaux;otsi-chenonceaux@9business.fr;http://www.chenonceaux-blere-tourisme.com;247239445;;M.Mialanne;"auditif ; mental ; moteur ; visuel";1 rue du Docteur Bretonneau;Centre;INDRE-ET-LOIRE
Activit‚s sportives de pleine nature;Sentier d'interpr‚tation du Louroux;accueil.hdpt@cg37.fr;http://www.cg37.fr;247314731;247314271;M.Thomas;"auditif ; mental ; moteur";Etang de Louroux;Centre;INDRE-ET-LOIRE
Loisirs;Grand Th‚atre - Op‚ra de Tours;theatre@ville-tours.fr;http://www.operadetours.fr;247602020;247602040;M.Germain;"mental ; moteur";34 rue de la Scellerie;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de tourisme de Sainte Maure de Touraine;tourisme-paysdesaintemauredetouraine@orange.fr;http://www.tourisme-saintemauredetouraine.fr;247656620;247340428;M.M Leroux et Moreau;"auditif ; mental ; moteur ; visuel";Les Passerelles 77 avenue G‚n‚ral de Gaulle;Centre;INDRE-ET-LOIRE
Chambre d'h“tes;Chambres d'h“tes La Sorellerie;vero.bertolero@gmail.com;http://www.gites-touraine.com;608484458;;Mme Bertolero;"auditif ; mental ; moteur ; visuel";57 rue Saint Michel;Centre;INDRE-ET-LOIRE
H“tel-restaurant;H“tel Restaurant Le Puits Dor‚;info@lepuitsdore.fr;http://www.lepuitsdore.fr;247581602;247582439;M.Blanc;"auditif ; mental ; moteur ; visuel";24 Place du March‚;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Meubl‚ Les Auvannes;gautiermarietta@yahoo.fr;http://www.gites-touraine.com;247290324;;M.Gautier;"auditif ; mental ; moteur";13bis rue des Auvannes;Centre;INDRE-ET-LOIRE
Chambre d'h“tes;Chambres d'h“tes Cathyourte;contact@yourte-en-touraine.com;http://www.yourte-en-touraine.com;247529707;;Mme Bridonneau;"auditif ; mental ; moteur ; visuel";29bis rue du Chateau de Vaux;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Gite de M.Fremont;reservation@gites-touraine.com;http://www.gites-touraine.com;247275610;247481339;M.Fremont;"auditif ; mental ; moteur";7 Basse Verrerie;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de tourisme du Pays de Bourgueil;otsi-bourgueil@wanadoo.fr;http://www.ot-bourgueil.fr;247979139;247979139;Mme Moreau;"auditif ; mental ; moteur ; visuel";16 Place de l'Eglise;Centre;INDRE-ET-LOIRE
Lieu de visite;Vignoble Domaine de Noir‚;domaine.de.noire@orange.fr;http://www.domainedenoire.com;247934489;247984413;M.Manceau;"auditif ; mental ; visuel";160 rue de l'Olive;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Gite de groupe du Bouchelin;gaecdupatouillard@wanadoo.fr;http://www.gites-touraine.com;247275610;;Mme Moreau;"auditif ; mental ; moteur ; visuel";2 Chemin du Bouchelin;Centre;INDRE-ET-LOIRE
