1 , "nom","lat","lon","adr1","adr2","adr3","adr4","tel","mail","web","intro","description","langues_nbr","langues","visite","activites_nbr","activites","services_nbr","services","url"
2 , "Domaine de Pallus","47.158618","0.345702","Domaine de Pallus","37500 CRAVANT-LES-COTEAUX",,,"02 47 93 00 05","jeanbernard.sourdais@free.fr","http://www.domainedepallus.com","<p>Ce vignoble bordé par la foret de Chinon a une histoire ! Il y a deux siècles pour ses sangsues, utilisées alors pour l’exercice de la médecine. Dans un magnifique cadre, Jean-Bernard et Josette Sourdais, passionnées du vin, vous accueille au domaine pour vous faire découvrir leurs cuvées de Chinon.</p>","Produits : Vins AOC : AOC Chinon Groupes acceptés (jusqu'à 50 personnes)",1,"Anglais","oui",0,,0,,"http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-de-pallus-cravant-les-coteaux"
3 , "Point de dépôt Loc. Val de Loire","47.411487","0.782511","Bagatelle Chambres d'hôtes","Bagatelle Chambres d'hôtes","77 rue du Petit Coteau","37210 VOUVRAY","02 38 84 11 78","contact@loc-valdeloire.com","http://www.loc-valdeloire.com","<p>Professionnel du cycle depuis 1975, Loc. Val de Loire propose aux particuliers, entreprises et collectivités, la location de vélos et accessoires de qualité. Avec plus de 1800 départs en 2013 et près de 200 vélos, Loc. Val de Loire est un acteur majeur du tourisme à vélo. L’agence met à votre disposition 18 points de location et dépôts sur les 800 km de la Loire à vélo. Avec plus de 10 tailles de vélos, de nombreux accessoires et services, Loc. Val de Loire répond à l’ensemble de vos besoins afin que vous puissiez louer en toute tranquillité et sécurité afin de découvrir, en famille ou entre amis, les magnifiques paysages qui bordent la Loire. Services: Transferts vélos et bagages, vente d'accessoires, consigne de bagages, objets oubliés = objets rapatriés, parking, vente topo-guide..</p>",,0,,,1,"Cyclotourisme",2,"Livraison de vélos Transfert de bagages","http://www.touraineloirevalley.com/dormir-manger-sortir/activites/point-de-depot-loc.-val-de-loire-vouvray"
4 , "Balades en Segway","47.345584","1.01311","FREEMOVE","Quai du Général de Gaulle","37400 AMBOISE",,"02 47 30 95 35","contact@freemove.fr","http://www.freemove.fr","<p>Prenez les commandes de votre gyropode Segway® pour partir à la découverte de sites exceptionnels ! Accessible à tous à partir de 12 ans, il ne vous faudra que quelques minutes pour apprivoiser ce nouveau mode de locomotion intuitif, silencieux et ludique !</p>","Groupes acceptés (jusqu'à 15 personnes)",2,"Anglais Espagnol",,3,"Activités pour les enfants(12 ans) Activités pour les familles Randonnée Cyclo / VTT",1,"Animations thématiques spécifiques","http://www.touraineloirevalley.com/dormir-manger-sortir/activites/balades-en-segway-amboise"
5 , "Marie-Pierre Raffault - Clos de la Grille","47.167296","0.240385","CLOS DE LA GRILLE","20 rue de la Haute Olive","Le Clos de la Grille","37500 CHINON","02 47 93 92 60","mpraffault@aol.com","http://www.marie-pierreraffault.fr","<p>La belle tradition vigneronne chinonaise se perpétue depuis 5 générations à travers Pierre Raffault, membre de la célèbre ""Confrérie des Bons Entonneurs Rabelaisiens"". Marie-Pierre Raffault cultive et vinifie avec passion des vins rouges et rosés de Chinon dans son vignoble des Loges et du Clos de la Grille, dans le respect d'une longue tradition familiale.</p>","Produits : Sirops et jus de fruits - Vins Groupes acceptés (jusqu'à 50 personnes)",1,"Anglais","oui",0,,0,,"http://www.touraineloirevalley.com/dormir-manger-sortir/activites/marie-pierre-raffault-clos-de-la-grille-chinon"
6 , "Domaine de la Chopinière du Roy","47.281616","0.12996","DOMAINE DE LA CHOPINIÈRE DU ROY","30, rue de la Rodaie","37140 SAINT-NICOLAS-DE-BOURGUEIL",,"02 47 97 77 74","chopiniereduroy@aol.com","http://www.chopiniereduroy.fr","<p>Le Domaine de la Chopiniere du Roy fût créé en 1850 et compte aujourd'hui un peu plus de 22 hectares.Christophe, la 8ième génération travaille en famille sur l'exploitation profitant du savoir-faire des plus anciens... Les vins sont élaborés et élevés au domaine.C'est avec plaisir que nous vous ferons visiter notre cave dans un cadre charmant et accueillant au cœur du vignoble et déguster nos différents crus. La cave et le chai sont accessibles aux personnes à mobilité réduite.</p>","Produits : Vins AOC : AOC Bourgueil - AOC Saint Nicolas de Bourgueil Groupes acceptés (jusqu'à 60 personnes)",3,"Français Anglais Allemand","oui",0,,0,,"http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-de-la-chopiniere-du-roy-saint-nicolas-de-bourgueil"
7 , "Domaine du clos de l'epinay","47.420176","0.812298","DOMAINE DU CLOS DE L'EPINAY","L'Epinay","37210 VOUVRAY",,"02 47 52 61 90","domaine.clos.epinay@cegetel.net","http://www.vinvouvray.com","<p>Notre clos du XVIIIe siècle se situe au coeur de l'appellation Vouvray. Bâtiment ancien et Vignes. Dégustation de vins blancs du domaine et hébergement en chambres d'hôtes spacieuses. Randonnées pédestres dans le vignoble.</p>","Produits : Vins AOC : AOC Touraine - AOC Vouvray Groupes acceptés (jusqu'à 40 personnes)",3,"Anglais Allemand Néerlandais","oui",0,,0,,"http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-du-clos-de-l-epinay-vouvray"
8 , "Epicerie Gourmande","47.340239","0.511564","EPICERIE GOURMANDE","6 rue de la mairie","37510 VILLANDRY",,"02 47 43 57 49","contact@epiceriegourmande.com","http://www.epiceriegourmande.com","<p>Boutique, bar à vins, restaurant, salon de thé, produits du terroir: terrines de la ferme, pommes et poires tapées, confiseries, chocolats, grande séléction de thés et infusions, articles cadeaux, savons à base de lait d'anesse de Villaines-les-Rochers. Confitures et confits, grande séléction de vins du Val de Loire, culture artisanale et biologique, salaison basque.</p>","Produits : Bières - Biscuits / Pâtisseries - Bonbons / Confiseries - Chocolat - Cidre - Condiments / Huilerie - Confitures - Conserverie - Fromage - Produit apicole - Salaisons - Sirops et jus de fruits - Spiritueux - Vins Groupes acceptés (jusqu'à 20 personnes)",1,"Anglais",,0,,0,,"http://www.touraineloirevalley.com/dormir-manger-sortir/activites/epicerie-gourmande-villandry"
9 , "Location de Canöe-kayak - Chinon Loisirs Activités Nature","47.163844","0.236409","SARL CHINON LOISIRS ACTIVITES NATURE","(C.L.A.N)","Quai Danton","37500 CHINON","06 23 82 96 33","info@loisirs-nature.fr","http://www.loisirs-nature.fr","<p>Location de canoës et kayaks de 2 h à plusieurs jours. Parcours en canoë de 6, 16, 32, 45 km ou plusieurs jours.</p>","Groupes acceptés (jusqu'à 200 personnes)",4,"Français Anglais Espagnol Portugais",,3,"Activités pour les enfants(7 ans) Activités pour les familles Canoé kayak Multisport Randonnée pédestre",2,"Livraison de vélos Transfert de bagages","http://www.touraineloirevalley.com/dormir-manger-sortir/activites/location-de-canoee-kayak-chinon-loisirs-activites-nature-chinon"
10 , "France Montgolfières","47.331681","1.067526","FRANCE MONTGOLFIÈRES","37150 CHENONCEAUX",,,"03 80 97 38 61","reservations@francemontgolfieres.com","http://www.francemontgolfieres.com","<p>Balades en montgolfière pour découvrir la Touraine et ses châteaux, vignobles et paysages. Plusieurs sites de départ possible : Chenonceau, Amboise, Loches, Chinon, Azay le Rideau et autres…</p>","Groupes acceptés (jusqu'à 100 personnes)",2,"Anglais Espagnol",,1,"Montgolfière",0,,"http://www.touraineloirevalley.com/dormir-manger-sortir/activites/france-montgolfieres-chenonceaux"
11 , "Gadawi park","47.348674","0.640383","GADAWI PARK","Avenue du Lac","37300 JOUE-LES-TOURS",,,"contact@gadawi-park.com","http://www.gadawi-park.com","<p>Situé à Joué les Tours au lac des Bretonnières, Gadawi park est le lieu idéal pour éveiller votre instinct d'aventurier. Gadawi park propose des jeux innovants comme la tyro-luge, le surf aérien, les tyroliennes au dessus du lac...</p>","Groupes acceptés (jusqu'à 300 personnes)",2,"Anglais Espagnol",,1,"Parc à thèmes",0,,"http://www.touraineloirevalley.com/dormir-manger-sortir/activites/gadawi-park-joue-les-tours"
