INFO  - 2014-09-03 14:43:28.331; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-09-03 14:43:28.355; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/thomas/workspace/sources/data-tourism-37/thomas/solr/contexts at interval 0
INFO  - 2014-09-03 14:43:28.374; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/contexts/solr-jetty-context.xml
INFO  - 2014-09-03 14:43:28.439; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/thomas/workspace/sources/data-tourism-37/thomas/solr/webapps/solr.war!/ to /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr-webapp/webapp
INFO  - 2014-09-03 14:43:29.872; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-09-03 14:43:29.921; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-03 14:43:29.974; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-09-03 14:43:29.975; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-09-03 14:43:29.975; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-09-03 14:43:30.122; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/solr.xml
INFO  - 2014-09-03 14:43:30.383; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-09-03 14:43:30.392; org.apache.solr.core.CoreContainer; New CoreContainer 2131671326
INFO  - 2014-09-03 14:43:30.393; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-09-03 14:43:30.408; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-03 14:43:30.408; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-09-03 14:43:30.408; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-03 14:43:30.411; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-03 14:43:30.411; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-03 14:43:30.411; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-03 14:43:30.412; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-09-03 14:43:30.412; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-09-03 14:43:30.412; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-09-03 14:43:30.728; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-09-03 14:43:30.729; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-09-03 14:43:30.773; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr
INFO  - 2014-09-03 14:43:30.786; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1/
INFO  - 2014-09-03 14:43:30.786; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-09-03 14:43:30.788; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /home/thomas/workspace/sources/data-tourism-37/thomas/solr/solr/collection1
